五都改制對照表在:,http://www.moi.gov.tw/chi/chi_news/news_detail.aspx?sn=4547&type_code=01,,,,,'日期（民國年被翻成西元年，應修正）,
county,town,vid,action,old,new,date,其他備註
臺中縣,大雅鄉,1000610-014,增,　,"大楓村
（由上楓村分割）",38740,
臺中縣,大雅鄉,1000610-015,增,　,"雅楓村
（由上楓村分割）",,
苗栗縣,苗栗市,1000501-028,增,　,"文聖里
（由文山里分割）",38749,
高雄市,左營區,6400300-018,刪,"自治里
（併入合群里）",　,38749,
高雄市,左營區,6400300-020,刪,"自立里
（併入明建里）",　,,
高雄市,左營區,6400300-033,刪,"自勉里
（併入崇實里）",　,,
臺北縣,五股鄉,1000115-020,增,　,"福德村
（由德泰村分割）",,
宜蘭縣,羅東鎮,1000202-001,刪,"開羅里
（併入開明里）",　,38749,
宜蘭縣,羅東鎮,1000202-002,刪,"開元里
（併入開明里）",　,,
宜蘭縣,羅東鎮,1000202-003,刪,"東明里
（併入開明里）",　,,
宜蘭縣,羅東鎮,1000202-012,刪,"居仁里
（併入仁德里及仁和里）",　,,
宜蘭縣,羅東鎮,1000202-013,刪,"義和里
（併入仁和里）",　,,
宜蘭縣,羅東鎮,1000202-014,刪,"羅東里
（併入中山里）",　,,
宜蘭縣,羅東鎮,1000202-015,刪,"浮崙里
（併入中山里）",　,,
宜蘭縣,羅東鎮,1000202-026,增,　,"國華里
（由北成里分割）",,
宜蘭縣,羅東鎮,1000202-027,增,　,"維揚里
（由西安里分割）",,
宜蘭縣,羅東鎮,1000202-028,增,　,"開明里
（由開羅里、開元里及東明里合併）",,
宜蘭縣,羅東鎮,1000202-029,增,　,"中山里
（由羅東里及浮崙里合併）",,
宜蘭縣,羅東鎮,1000202-030,增,　,"仁和里
（由居仁里(部分)及義和里合併）",,
臺北縣,泰山鄉,1000116-016,增,　,"福興村
（由福泰村分割）",38749,
臺北縣,泰山鄉,1000116-017,增,　,"全興村
（由同興村分割）",,
苗栗縣,頭份鎮,1000505-030,增,　,"自強里
（由忠孝里分割）",38749,
苗栗縣,頭份鎮,1000505-031,增,　,"合興里
（由後庄里分割）",,
桃園縣,八德市,1000308-044,增,　,"廣德里
（由廣興里分割）",38718,
桃園縣,八德市,1000308-045,增,　,"龍友里
（由霄裡里分割）",,
桃園縣,八德市,1000308-046,增,　,"陸光里
（由大同里分割）",,
高雄縣,大寮鄉,1001203-025,刪,"復興村
（併入光武村）",　,,
臺南市,東　區,1002101-054,增,　,"南聖里
（由關聖里分割）",38726,
臺南市,東　區,1002101-055,增,　,"文聖里
（由關聖里分割）",,
彰化縣,和美鎮,1000703-032,增,　,"仁愛里
（由山犁里分割）",38749,
桃園縣,桃園市,1000301-070,增,　,"中聖里
（由中泰里分割）",,
桃園縣,桃園市,1000301-071,增,　,"龍壽里
（由龍祥里分割）",,
桃園縣,桃園市,1000301-072,增,　,"同德里
（由中寧里分割）",,
桃園縣,桃園市,1000301-073,增,　,"明德里
（由中寧里分割）",,
桃園縣,桃園市,1000301-074,增,　,"寶安里
（由寶慶里分割）",,
桃園縣,桃園市,1000301-075,增,　,"瑞慶里
（由北埔里分割）",,
桃園縣,桃園市,1000301-076,增,　,"三元里
（由忠義里分割）",,
臺南市,南　區,1002101-002,刪,"興中里
（併入明德里）",,,
基隆市,信義區,1001707-020,增,,"孝忠里
（由孝德里分割）",38719,
基隆市,安樂區,1001706-025,增,　,"壯觀里
（由三民里分割）",,
基隆市,七堵區,1001702-020,增,　,"長安里
（由堵南里分割）",,
桃園縣,大園鄉,1000306-009,刪,"建華村
（併入大海村）",　,38749,
嘉義市,東　區,1002001-023,刪,"希康里
（併入東山里）",　,38749,
嘉義市,東　區,1002001-027,刪,"志航里
（併入神農里、龍山里及東山里）",　,,
新竹市,"東  區",1001801-034,刪,"偉功里
（併入武功里）",,38899,
屏東縣,屏東市,1001301-072,刪,"大鵬里
（併入廣興里）",,38453,
臺北縣,金山鄉,1000127-015,增,,"金美村
（由美田村分割）",38504,
桃園縣,龍潭鄉,1000309-005,刪,"干城村
（併入龍祥村）",,38626,
臺北縣,瑞芳鎮,1000112-014,修,侯硐里,猴硐里,38534,
屏東縣,屏東市,1001301-081,增,,"崇武里
（由大武里分割）",38558,
桃園縣,中壢市,1000302-080,增,　,"興平里
（由興國里分割）",38626,
桃園縣,中壢市,1000302-081,增,　,"中興里
（由中山里分割）",,
臺南縣,新營市,1001101-029,增,　,"新東里
（由王公里分割）",38657,
臺南市,西　區,1002103-004,刪,普濟里,　,37987,
臺南市,西　區,1002103-006,刪,水仙里,　,,
臺南市,西　區,1002103-008,刪,藥王里,　,,
臺南市,西　區,1002103-009,刪,協和里,　,,
臺南市,西　區,1002103-012,刪,文賢里,　,,
臺南市,西　區,1002103-013,刪,光賢里,　,,
臺南市,西　區,1002103-015,刪,元安里,　,,
臺南市,西　區,1002103-016,刪,協進里,　,,
臺南市,西　區,1002103-017,刪,安海里,　,,
臺南市,西　區,1002103-018,刪,民生里,　,,
臺南市,西　區,1002103-020,刪,中正里,　,,
臺南市,西　區,1002103-023,刪,大涼里,　,,
